row_index,R-squared_ARIMA,R-squared_SARIMA
0,-3.6537540933272577e+31,-3.6537540933272577e+31
1,-3.6537540933272577e+31,-3.6537540933272577e+31
2,-3.6537540933272577e+31,-3.6537540933272577e+31
3,-3.6537540933272577e+31,-3.6537540933272577e+31
4,-3.6537540933272577e+31,-3.6537540933272577e+31
